timestamp,event,event2,gluc_mmol_L,kh_g,Dauer (hh:mm:ss),delta_time_s
2025-12-05 04:51:31,EGV,,4.3,,,17491.0
2025-12-05 04:56:31,EGV,,4.7,,,17791.0
2025-12-05 05:01:31,EGV,,3.9,,,18091.0
2025-12-05 05:06:31,EGV,,3.7,,,18391.0
2025-12-05 05:11:31,EGV,,4.9,,,18691.0
2025-12-05 05:16:31,EGV,,4.8,,,18991.0
2025-12-05 05:21:31,EGV,,4.3,,,19291.0
2025-12-05 05:26:31,EGV,,5.2,,,19591.0
2025-12-05 05:31:31,EGV,,5.2,,,19891.0
2025-12-05 05:36:31,EGV,,4.4,,,20191.0
2025-12-05 05:41:31,EGV,,4.2,,,20491.0
2025-12-05 05:46:31,EGV,,4.3,,,20791.0
2025-12-05 05:51:31,EGV,,4.5,,,21091.0
2025-12-05 05:56:31,EGV,,4.4,,,21391.0
2025-12-05 06:01:31,EGV,,4.4,,,21691.0
2025-12-05 06:06:31,EGV,,3.6,,,21991.0
2025-12-05 06:11:31,EGV,,3.9,,,22291.0
2025-12-05 06:16:31,EGV,,4.2,,,22591.0
2025-12-05 06:21:31,EGV,,4.4,,,22891.0
2025-12-05 06:26:31,EGV,,4.2,,,23191.0
2025-12-05 06:31:31,EGV,,4.2,,,23491.0
2025-12-05 06:36:31,EGV,,4.3,,,23791.0
2025-12-05 06:41:28,EGV,,4.4,,,24088.0
2025-12-05 06:46:27,EGV,,4.3,,,24387.0
2025-12-05 06:51:27,EGV,,4.4,,,24687.0
2025-12-05 06:56:27,EGV,,4.6,,,24987.0
2025-12-05 07:01:26,EGV,,4.6,,,25286.0
2025-12-05 07:06:26,EGV,,4.8,,,25586.0
2025-12-05 07:11:27,EGV,,4.9,,,25887.0
2025-12-05 07:16:26,EGV,,4.8,,,26186.0
2025-12-05 07:21:26,EGV,,4.8,,,26486.0
2025-12-05 07:26:27,EGV,,4.9,,,26787.0
2025-12-05 07:31:26,EGV,,5.0,,,27086.0
2025-12-05 07:36:26,EGV,,5.1,,,27386.0
2025-12-05 07:41:26,EGV,,5.4,,,27686.0
